Protein_Group	Protein_Ids	Protein_Names	Genes	First_Protein_Description	control_r1	control_r2	control_r3	MI_IZ_r1	MI_IZ_r2	MI_IZ_r3	MI_IZ_r4	MI_remote_r1	MI_remote_r2	MI_remote_r3	MI_remote_r4
P97350	P97350	PKP1_MOUSE	Pkp1					5894.68		3165.95	2801.99	1339.1	2626.96	1520.58	5781.06
P97351	P97351	RS3A_MOUSE	Rps3a		25972.4	26730.6	26285	45628.7	44484.1	43909	37999.7	30497.3	36306.4	29273.8	32350.8
P97352	P97352	S10AD_MOUSE	S100a13		5247.56	8175.62	6531.54	9169.6	9385.33	9199.27	7607.57	7057.65	10692	7125.27	9792.09
P97369	P97369	NCF4_MOUSE	Ncf4					2094.98	1572.12	1947.77	2494.98				
P97370	P97370	AT1B3_MOUSE	Atp1b3		5166.67	6235.17	6429.03	7916.5	8476	12724.7	9900.81	7186.64	7950.3	6659.56	5611.94
P97371	P97371	PSME1_MOUSE	Psme1		11514.5	13496.7	11714.8	20224.9	16598.5	13463.6	16070.4	11943.9	14895.9	13194.9	12275.5
P97371;P97372	P97371;P97372	PSME1_MOUSE;PSME2_MOUSE	Psme1;Psme2		3087.3	4166.33	2394.34	3656.58	3764.08				3864.28	4360.33	3656.3
P97372	P97372	PSME2_MOUSE	Psme2		4603.85	4826.73	4236.17	8001.46	6596.05	5156.14	6025.23	5313.51	4786.56	5491.89	5003.9
P97379	P97379	G3BP2_MOUSE	G3bp2		4027.17	3968.15	3503.94	5314.78	5592.23	6350.22	5446.23	5395.39	5151.58	3574.27	4276.65
P97379;P97855	P97379;P97855	G3BP1_MOUSE;G3BP2_MOUSE	G3bp1;G3bp2		11665.7	16054.6	11577.3	21223.6	22200.1	15000.4	17136.4	17557.8	16598.1	16778.1	16496.1
P97384	P97384	ANX11_MOUSE	Anxa11		10164.9	6234.56	7631.89	13574.5	12231.2	15113.7	15773.8	7593	8153.27	7943.86	7933.88
P97425	P97425	ECP2_MOUSE	Ear2					8361.4	2719.31	3741.54	17794.3				
P97426;Q923L6	P97426;Q923L6	ECP1_MOUSE;Q923L6_MOUSE	Ear1;Ear10					4047.06	2433.64	1810.5	5870.48				
P97427;O08553	P97427;O08553	DPYL1_MOUSE;DPYL2_MOUSE	Crmp1;Dpysl2			20116.8	14166.5	21384.4	15190.4	8272.84	10650.4	22520.5	34393.7	18870.9	23011.9
P97427;O08553;Q62188	P97427;O08553;Q62188	DPYL1_MOUSE;DPYL2_MOUSE;DPYL3_MOUSE	Crmp1;Dpysl2;Dpysl3		10726.6	13114.2	13280.6	14951.2	12989.6	9596.56	5967.7	11708.3	21901.6	10134	14287.8
P97427;Q62188	P97427;Q62188	DPYL1_MOUSE;DPYL3_MOUSE	Crmp1;Dpysl3		8147.79	13275.7	9111.19	8502.27	13298.8	6972.09	7999.94	15956.5	20913.6	12836.7	18917.3
P97429	P97429	ANXA4_MOUSE	Anxa4		3963.91	3893.64	3676.37	4033.81	4752.06	5576.91	4683.28	3716.47	3644.12	3799.52	4071.95
P97429;P14824	P97429;P14824	ANXA4_MOUSE;ANXA6_MOUSE	Anxa4;Anxa6		7821.26	9903.65	11932.8	8599.48	11170.1	13907.5	5963.27	8403.97	9082.65	9511.3	8193.06
P97434	P97434	MPRIP_MOUSE	Mprip				1335.18	2522.71		5984.24	2561.3	1174.26	1956.78	1320.42	
P97443	P97443	SMYD1_MOUSE	Smyd1		26713.2	24555	29999.7	21475	20783.9	20826.5	11996.5	29815.7	24998.2	31216.7	27158.4
P97447	P97447	FHL1_MOUSE	Fhl1		8888.96	9453.72	9012.02	18111.4	15507.1	13783.3	11467.5	15088.7	13196.9	15766.1	12466.9
P97447;Q8CDC8	P97447;Q8CDC8	FHL1_MOUSE;Q8CDC8_MOUSE	Fhl1;Fhl4		8697.95	11582.4	8475.5	19434.3	17208.1	13147.9	14152.6	17747.8	14666.5	21099.8	14801.2
P97449	P97449	AMPN_MOUSE	Anpep		23275.7	22207.6	24812	13947.5	18289.6	17081	18693.5	17711.6	17302.9	15655.7	20492.1
P97450	P97450	ATP5J_MOUSE	Atp5pf		216488	275784	240277	214595	203321	167340	99110.6	222707	242812	238646	180002
P97461	P97461	RS5_MOUSE	Rps5		15538.3	14287.3	13191.4	26041.6	27840.1	29879.3	26804.2	18269.6	22833.3	18477.1	20736.6
P97467	P97467	AMD_MOUSE	Pam		2160.66	3167.01	2309.11	1357.78	1671.16			3376.61	2806.72	2373.98	3707.57
P97478	P97478	COQ7_MOUSE	Coq7		15435.4	14735.1	14637.8	12200.6	13606.3	10862.2	6605.41	15563.5	14040.4	15724.2	13829.4
P97496	P97496	SMRC1_MOUSE	Smarcc1		170.748	397.473		389.68	571.943		324.102	306.368	269.283	191.942	
P97742	P97742	CPT1A_MOUSE	Cpt1a		6183.65	5845.73	5671.24	5296.27	7199.73	5624.58	6545.95	6145.44	7091.71	5125.73	6769.89
P97742;Q924X2	P97742;Q924X2	CPT1A_MOUSE;CPT1B_MOUSE	Cpt1a;Cpt1b		20817.4	20174.9	23861.1	19399.5	17595.7	17090.7	10437.1	19857.6	17748.6	20339.5	18979.7
P97797	P97797	SHPS1_MOUSE	Sirpa				661.915	1680.08		2016.51	1811.06		1056.33		
P97807	P97807	FUMH_MOUSE	Fh		227307	208461	252819	217505	174409	158742	82764.1	214616	210583	217998	209632
P97821	P97821	CATC_MOUSE	Ctsc				1781.49	6297.1			1831.3	2714.71			
P97823	P97823	LYPA1_MOUSE	Lypla1		3985.31	4509.33	4975.88	8103.81	5621.56	4875.41	3797.96	5559.91	5989.17	4858.5	5347.39
P97825	P97825	JUPI1_MOUSE	Jpt1		1511.65			2337.74		1216.48		714.008	526.096	665.392	
P97855	P97855	G3BP1_MOUSE	G3bp1		8578.79	8702.41	8606.42	13058.9	12820.5	12364.9	10098.1	11391.9	11706.8	10217.8	10679.4
P97861;Q9ERE2;Cont_O43790;Cont_Q14533;Cont_P97861;Cont_Q9ERE2	P97861;Q9ERE2;Cont_O43790;Cont_Q14533;Cont_P97861;Cont_Q9ERE2	KRT81_HUMAN;KRT81_MOUSE;KRT86_HUMAN;KRT86_MOUSE	KRT81;KRT86;Krt81;Krt86										2404.05	11756.9	
P97861;Q9ERE2;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P97861;Cont_Q9ERE2;Cont_P02539;Cont_P15241	P97861;Q9ERE2;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P97861;Cont_Q9ERE2;Cont_P02539;Cont_P15241	E9Q1Y9_MOUSE;K2M1_SHEEP;K2M2_SHEEP;KR87P_HUMAN;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT86_HUMAN;KRT86_MOUSE	KRT81;KRT83;KRT86;KRT87P;Krt81;Krt83;Krt86							3036.08			1619.54	10872.1	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6	E9Q1Y9_MOUSE;KR87P_HUMAN;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT85_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE	KRT81;KRT83;KRT85;KRT86;KRT87P;Krt81;Krt83;Krt85;Krt86;Krt87											21275.5	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	E9Q1Y9_MOUSE;K2M2_SHEEP;K2M3_SHEEP;KR87P_HUMAN;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT85_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE	KRT81;KRT83;KRT85;KRT86;KRT87P;Krt81;Krt83;Krt85;Krt86;Krt87		3481.37		3973.6			6273.79		6647.79	6709.57	52852.5	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_Q9NSB4;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_A6NCN2;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_Q9NSB4;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	E9Q1Y9_MOUSE;K2M2_SHEEP;K2M3_SHEEP;KR87P_HUMAN;KRT81_HUMAN;KRT81_MOUSE;KRT82_HUMAN;KRT83_HUMAN;KRT85_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE	KRT81;KRT82;KRT83;KRT85;KRT86;KRT87P;Krt81;Krt83;Krt85;Krt86;Krt87										1865.02	13468.1	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241	E9Q1Y9_MOUSE;K2M2_SHEEP;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT85_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE	KRT81;KRT83;KRT85;KRT86;Krt81;Krt83;Krt85;Krt86;Krt87		4658.75					5166.37	2385.57		3485.57	8585.48	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_P78386;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	E9Q1Y9_MOUSE;K2M2_SHEEP;K2M3_SHEEP;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT85_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE	KRT81;KRT83;KRT85;KRT86;Krt81;Krt83;Krt85;Krt86;Krt87							1798.58			1459.88	25991.6	
P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_P78386;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P25691	P97861;Q9ERE2;Q9Z2T6;Q6IMF0;E9Q1Y9;Cont_P78386;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P25691	E9Q1Y9_MOUSE;K2M3_SHEEP;KRT81_MOUSE;KRT85_HUMAN;KRT85_MOUSE;KRT86_MOUSE;KRT87_MOUSE	KRT85;Krt81;Krt83;Krt85;Krt86;Krt87											8174.79	
P97861;Q9ERE2;Q9Z2T6;Q9CPR6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	P97861;Q9ERE2;Q9Z2T6;Q9CPR6;Q6IMF0;E9Q1Y9;Cont_O43790;Cont_P78385;Cont_Q14533;Cont_P97861;Cont_Q6IMF0;Cont_Q9ERE2;Cont_Q9Z2T6;Cont_P15241;Cont_P25691	E9Q1Y9_MOUSE;K2M2_SHEEP;K2M3_SHEEP;KRT81_HUMAN;KRT81_MOUSE;KRT83_HUMAN;KRT85_MOUSE;KRT86_HUMAN;KRT86_MOUSE;KRT87_MOUSE;Q9CPR6_MOUSE	KRT81;KRT83;KRT86;Krt81;Krt83;Krt85;Krt86;Krt87;Krt88								3558.59			40779.4	
P97863	P97863	NFIB_MOUSE	Nfib		3780.53	3261.45	3943.53	1954.21		3073.39		4495.55	3743.2	3843.34	3013.81
P97872	P97872	FMO5_MOUSE	Fmo5		4022.74	6078.34	4223.14	3374.73	6323.74	6686.49	5976.33	6058.78	7902.9	3985.31	6629.46
P97873	P97873	LOXL1_MOUSE	Loxl1		4418.85	4049.47	3756.94	5183.48	7653.01	7185.83	5318	5722.91	7601.64	4986.73	5595.95
P97927	P97927	LAMA4_MOUSE	Lama4		11847.9	11866.3	11546.3	11880.8	14645.9	12767.5	16409.5	14337.6	15174.6	11488.6	13736.5
P97930	P97930	KTHY_MOUSE	Dtymk				1193.92	1321.33							1822.97
P98064	P98064	MASP1_MOUSE	Masp1				1561.72	4457.72	3375.95	3888.77	2700.34		1704.21		
P98078	P98078	DAB2_MOUSE	Dab2		1696.83	2033.39	2212.09	2357.78	2337.52	2941.08		2724.63	2296.73	2189.64	2236.69
P99024	P99024	TBB5_MOUSE	Tubb5		12928.5	9277.32	12811.6	27832.5	19779.5	19418.5	19336.8	13370.4	21822.8	15914.7	16688.7
P99024;P68372	P99024;P68372	TBB4B_MOUSE;TBB5_MOUSE	Tubb4b;Tubb5		2330.49	1632.8	3177.26	6741.67				1477.9	6750.76	3683.13	
P99024;Q9D6F9;P68372	P99024;Q9D6F9;P68372	TBB4A_MOUSE;TBB4B_MOUSE;TBB5_MOUSE	Tubb4a;Tubb4b;Tubb5		22053.7	33697.7	24710.1	46381.9	27420	24791.4	22894.8	32189.9	39004.8	32445.4	28048
P99024;Q9D6F9;Q9ERD7;P68372	P99024;Q9D6F9;Q9ERD7;P68372	TBB3_MOUSE;TBB4A_MOUSE;TBB4B_MOUSE;TBB5_MOUSE	Tubb3;Tubb4a;Tubb4b;Tubb5		25120.4	29140.5	27298.5	46691.2	32979.4	27711.5	13805.1	31914.1	37948	17866.7	28964.3
P99026	P99026	PSB4_MOUSE	Psmb4		12100.3	9932.06	11782.2	18592.3	15156.2	18326	16748.3	12773.6	14377.2	11941.5	16796.3
P99027	P99027	RLA2_MOUSE	Rplp2		15290.5	16850.2	12621	36630.3	31110.9	19757.5	23746.1	20852.7	24722.6	23667.9	16159.1
P99028	P99028	QCR6_MOUSE	Uqcrh		161683	146189	184817	138492	126080	109758	60502.1	152026	144569	144999	117612
P99029	P99029	PRDX5_MOUSE	Prdx5		72732	58699.7	68496.7	122333	76180.5	66093.7	53753.8	68194.9	76556.6	71037.2	77271.8
Q00560	Q00560	IL6RB_MOUSE	Il6st		1007.61	1139.74	1161.65	1734.07	1710.27	2555.46	2065.44	1195.49	2067.91		
Q00612	Q00612	G6PD1_MOUSE	G6pdx		1800.74	2042.18	1943.18	13544.8	9497.93	10941.4	15733.5	2689.84	3606.42	3236.13	4603.97
Q00612;P97324	Q00612;P97324	G6PD1_MOUSE;G6PD2_MOUSE	G6pd2;G6pdx		2007.58	1780.86	1632.43	4534.12	2851.66	5549.45	3767.45	2721.22		2452.6	
Q00623	Q00623	APOA1_MOUSE	Apoa1		261134	350928	243308	1.1437E+06	600367	1.30998E+06	602295	657480	755503	356441	349694
Q00623;Cont_P15497	Q00623;Cont_P15497	APOA1_BOVIN;APOA1_MOUSE	APOA1;Apoa1		91310.6	124856	80789.9	268019	143627	490744	173376	182351	191178	138865	124620
Q00896	Q00896	A1AT3_MOUSE	Serpina1c		1624.46			2485.39	1388.05			2255.51	1571.14		
Q00897	Q00897	A1AT4_MOUSE	Serpina1d		6885.24	9812.03	5256.96	22347.1	11664.3	15741.1	6836.11	9429.36	14313.1	7693.68	7586.08
Q00898	Q00898	A1AT5_MOUSE	Serpina1e		1154.07		346.483	1706.85	1666.93	1503.43		1469.6	3742.22	915.644	1492.47
Q00915	Q00915	RET1_MOUSE	Rbp1		4171.44	4681.85	2561.21	2651.23	3618.44	3236.2	2524.4	2763.76	2218.12	2480.55	3074.68
Q00PI9	Q00PI9	HNRL2_MOUSE	Hnrnpul2		6274.68	7707.21	6939.32	7325.7	10755.7	9328.96	11370.9	7636.6	8995.11	6027.33	6627.43
Q01102	Q01102	LYAM3_MOUSE	Selp						3102.33	5116.77	11029.1				
Q01149	Q01149	CO1A2_MOUSE	Col1a2		938842	963190	737685	483386	860273	744005	518128	980120	985501	581283	758336
Q01231	Q01231	CXA5_MOUSE	Gja5		2047.03	1678.39	1534.91		1762.36			2739.51	3342.71	2631.99	4174.32
Q01279	Q01279	EGFR_MOUSE	Egfr					3049.83		3053.12			1949.99		
Q01339	Q01339	APOH_MOUSE	Apoh		20284.9	20411.3	16495.5	39989.9	39419.2	42683.4	28676.1	23995.5	30002.3	20947.7	21057.2
Q01405	Q01405	SC23A_MOUSE	Sec23a		8268.61	10257.4	8745.32	10921.9	12184.6	13416.4	8814.06	10224.4	12077.3	9948.08	12045.1
Q01405;Q9D662	Q01405;Q9D662	SC23A_MOUSE;SC23B_MOUSE	Sec23a;Sec23b		4744.58	4330.8	3768.2	4848.3	7620.55	6569.49	9977.84	4413.72	6334.13	5513.91	4761.24
Q01730	Q01730	RSU1_MOUSE	Rsu1		10402.9	11804.4	10951.5	10864.7	9693.71	13274.9	11169.6	10449.2	10623	9457.75	9743.59
Q01768	Q01768	NDKB_MOUSE	Nme2		37661.9	33960.3	37802.3	44254.7	35377.3	25364.4	21626.2	32276	34155.7	35313.9	30771.1
Q01853	Q01853	TERA_MOUSE	Vcp		25715.5	26630.5	26023.6	40240.5	38049.6	31336.2	26995.7	29433	34745.5	30395.3	28740.3
Q02013	Q02013	AQP1_MOUSE	Aqp1		21251.3	21909.7	30524.3	20014.2	21900	53142.2	30945.7	17210.7	13421.2	19517.6	12417.7
Q02053	Q02053	UBA1_MOUSE	Uba1		8878.44	9282.54	9717.89	15181.7	12349.5	10394.1	8295.11	9320.86	11938.4	11765.9	9659.08
Q02105	Q02105	C1QC_MOUSE	C1qc				1377.11	4606.9	5075.38	5277.21	3559.9	2069.29	2924.78		3045.36
Q02248	Q02248	CTNB1_MOUSE	Ctnnb1		13053.4	14164	13463.8	13194	13489.4	13076.5	12300.9	14968.1	16499.3	13633.3	15241.7
Q02248;Q02257	Q02248;Q02257	CTNB1_MOUSE;PLAK_MOUSE	Ctnnb1;Jup		8090.75	9413.66	7784.45	14122.7	8127.79	7430.4	7685.69	6830.06	10483.1	8014.51	11584.5
Q02257	Q02257	PLAK_MOUSE	Jup		20750.2	25415.3	20858	62336.7	17484.4	16917.7	24605	21262.3	31582.5	25062.5	35033.3
Q02357	Q02357	ANK1_MOUSE	Ank1		6837.48	6798.25	7618.91	4702.31	4838.94	8541.33	7217.06	5841.74	6585.08	7600.86	6459.38
Q02566	Q02566	MYH6_MOUSE	Myh6		1.84165E+06	1.7374E+06	2.14419E+06	1.74819E+06	1.40315E+06	1.28179E+06	693377	1.75659E+06	1.5734E+06	1.7627E+06	1.56588E+06
Q02566;P13541	Q02566;P13541	MYH3_MOUSE;MYH6_MOUSE	Myh3;Myh6		344768	209137	192591	207839	206532	143207	50684.4	268352	235984	325053	267915
Q02780	Q02780	NFIA_MOUSE	Nfia		4607.8	6651.38	5581.67	3046.76	4981.49		3047.62	5297.83	5752.35	4176.79	4264.79
Q02788	Q02788	CO6A2_MOUSE	Col6a2		239509	244021	236120	138575	198815	178652	125619	255406	250557	182474	196351
Q02819	Q02819	NUCB1_MOUSE	Nucb1		5015.47	5686.25	5738.92	7001.7	7512.44	5639.53	7317.03	6988.87	7229.87	6353.46	6555.29
Q02858;Q61006;Q06806	Q02858;Q61006;Q06806	MUSK_MOUSE;TIE1_MOUSE;TIE2_MOUSE	Musk;Tek;Tie1				2186.62		3338.42						2478.98
Q03146;Q62371	Q03146;Q62371	DDR1_MOUSE;DDR2_MOUSE	Ddr1;Ddr2		1641.62	2089.46	1886.59		1636.51			1567.19			
Q03173	Q03173	ENAH_MOUSE	Enah			3035.79	3698.21	5902.31	6257.32	5791.8		4181.98	4577.97	5741.59	4762.67
Q03173;P70429	Q03173;P70429	ENAH_MOUSE;EVL_MOUSE	Enah;Evl		2668.5	2101.17	2510.13	4971.34	4211.52			2952.9	4304.02	2782.59	4856.06
Q03265	Q03265	ATPA_MOUSE	Atp5f1a		2.34145E+06	2.52946E+06	2.37551E+06	2.00197E+06	1.90727E+06	1.84702E+06	1.00934E+06	2.4334E+06	2.22176E+06	2.49283E+06	2.20173E+06
Q03734	Q03734	SPA3M_MOUSE	Serpina3m		3109.44	2640.18	2454.52	5740.59	5462.74	5998.94	2021.94	5092.71	5959.62	3292.41	4893.74
Q03734;P29621	Q03734;P29621	SPA3C_MOUSE;SPA3M_MOUSE	Serpina3c;Serpina3m			1980.11		4481.04	3500.93	3917.3		3507.53	4366.78	2562.84	
Q03740;Q9CXV3;P04345;P04342	Q03740;Q9CXV3;P04345;P04342	CRGA_MOUSE;CRGD_MOUSE;CRGE_MOUSE;CRGF_MOUSE	Cryga;Crygd;Cryge;Crygf				2335.46			10097.2	6922.19	1991.58		2550.97	
Q03958	Q03958	PFD6_MOUSE	Pfdn6		2930.43	3101.57	2486.13	3426.63	4327.12	2915.39	3543.78	2629.16	3109.12	3029.48	2985.18
Q04447	Q04447	KCRB_MOUSE	Ckb		4513.35	4612.92	4297.71	4663.08	4387.95	3668.5		4046.78	5578.8	4586.07	6353.26
Q04750	Q04750	TOP1_MOUSE	Top1		3602	3857.12	3394.02	5818.58	6907.3	7379.93	10008.7	4409.93	4225.65	3708.7	4259.54
Q04857	Q04857	CO6A1_MOUSE	Col6a1		243857	257342	229284	145008	213620	186173	113530	280335	270019	190059	181748
Q05144	Q05144	RAC2_MOUSE	Rac2					11405.1	8271	11074.9	17742.5	2195.98			1827.31
Q05186	Q05186	RCN1_MOUSE	Rcn1		3410.9	5770.27	5069.33	4333.6	4660.74	5228.74		4312.88	7271.56	4918.78	5767.35
Q05769	Q05769	PGH2_MOUSE	Ptgs2					2724.92	2573.43	5365.62	8354.14				
Q05793	Q05793	PGBM_MOUSE	Hspg2		62865.9	61811.8	56527.6	59224.5	75696.7	64999	54021.8	71684.5	73745.2	55733.1	58411.2
Q05816	Q05816	FABP5_MOUSE	Fabp5		15351.1	21626	12539.5	27633.9	15103.3	12231.4	20874.1	11165.3	14279.8	11414	12274.3
Q05920	Q05920	PYC_MOUSE	Pc		8090.09	8573.92	8509.7	7689.84	6352.18	7247.12	5607.46	7270.57	6401.83	7846.99	7330
Q05BC3	Q05BC3	EMAL1_MOUSE	Eml1		7187.92	6635.31	6767.69	5726.49	6304.02	6984.74	5089.29	6617.03	5927.76	7643.09	7028.83
Q05D44	Q05D44	IF2P_MOUSE	Eif5b				2722.35	3327.4	4684.88	3738.88	2351.84	2723.3	3038.37	1635.7	2871.69
Q06138	Q06138	CAB39_MOUSE	Cab39		1170.62		1115.92	1274	1002.94			1719.82		1093.33	
Q06185	Q06185	ATP5I_MOUSE	Atp5me		301146	341401	376295	248719	221841	153571	107432	289993	270017	339132	216589
Q06890	Q06890	CLUS_MOUSE	Clu		9282.52	9951.2	7830.65	63893	62345.8	51053.1	41088.5	13904.5	62597.8	10521.4	14591.2
Q07076	Q07076	ANXA7_MOUSE	Anxa7		13145.1	14855.1	13760.2	20771.3	19641.1	17983.6	14835.7	13664.8	17776.5	13939.2	15363
Q07113	Q07113	MPRI_MOUSE	Igf2r		3641.34	3443.72	3246.69	4761.41	6379.56	5934.36	6680.27	6183.77	5956.24	5806.45	5967.78
Q07417	Q07417	ACADS_MOUSE	Acads		36538.4	36007	42556.6	37414.4	26344.9	24798.7	13974.8	33914	26573.1	32923.7	30795
Q07456	Q07456	AMBP_MOUSE	Ambp		3442.1	4178.78	3770.46	11023.4	7158.39	9262.97	6982.03	6134.07	8174.64	5159.21	
Q07813	Q07813	BAX_MOUSE	Bax		1725.56	1666.77	1321.98	2627.64	2165.26	2215.3	1791.22	1843.97	2001.55	1021.04	1936.38
Q07968	Q07968	F13B_MOUSE	F13b		1262.72	2852.55	1624.24	3583.44	3658.91	6128.95	2753.84	1789.24	2715.59		2270.58
Q08091	Q08091	CNN1_MOUSE	Cnn1					2808.73	3566.78	3447.14	3758.77	1757.96			4071.04
Q08093	Q08093	CNN2_MOUSE	Cnn2				2418.91	3349.82	4145.12	3306.42	5700.53	1455.65	2917.24	1727.06	3818.13
Q08288	Q08288	LYAR_MOUSE	Lyar				547.407	1313.87	793.897	686.765	1236.57	714.321	616.891	613.147	
Q08369	Q08369	GATA4_MOUSE	Gata4			769.067	917.201		535.639				1047.65	1311.85	
Q08481	Q08481	PECA1_MOUSE	Pecam1		13364.5	11782.9	12173.9	13929.8	17608.9	18378.6	21442.8	16227.6	15458.1	11461.3	11090.7
Q08857	Q08857	CD36_MOUSE	Cd36		58548.9	59642.2	63127	55178.8	44929.8	48205.6	42714.7	64224.1	55579.3	53124.1	51943
Q08879	Q08879	FBLN1_MOUSE	Fbln1		3658.98	3515.75	3562.31	8088.24	9734.46	8566.47	8732.37	3354.05	4386.25	3636.57	4098.83
Q08943	Q08943	SSRP1_MOUSE	Ssrp1		2505.95	3843.98	2836.63	5330.47	6755.27	6116.51	7241.88	3484.54	4523.38	3472.32	4273.02
Q09014	Q09014	NCF1_MOUSE	Ncf1					5580.85	6060.29	7291.8	11058.5	1207.11			
Q0II04	Q0II04	NEBL_MOUSE	Nebl		37524.7	39063.7	43058.4	27239.6	23488.3	23447	11422.3	35307.6	30671	33697.2	32095
Q0VBK2;Cont_Q6KB66;Cont_Q0VBK2	Q0VBK2;Cont_Q6KB66;Cont_Q0VBK2	K2C80_HUMAN;K2C80_MOUSE	KRT80;Krt80		1829.19	1179.49		7824.1	3011.45	9105.34	4219.32	1833.63	5064.85		4417.96
Q0VBL3	Q0VBL3	RBM15_MOUSE	Rbm15		2315.68	2368.13	2616.72	2485.79	3329.14	3415.4	3517.65	3074.3	2403.83	2614.32	2992.43
Q0VE82;P59108;Q9Z140;Q8JZW4;Q1RLL3;Q8BT60;Q9DC53;Q8BLR2	Q0VE82;P59108;Q9Z140;Q8JZW4;Q1RLL3;Q8BT60;Q9DC53;Q8BLR2	CPNE2_MOUSE;CPNE3_MOUSE;CPNE4_MOUSE;CPNE5_MOUSE;CPNE6_MOUSE;CPNE7_MOUSE;CPNE8_MOUSE;CPNE9_MOUSE	Cpne2;Cpne3;Cpne4;Cpne5;Cpne6;Cpne7;Cpne8;Cpne9		2995.23	3420.51	2230.58	3908.62	5028.2	4419.77	8035.2	2648.44	3033.29	3395.98	3024.51
Q11011	Q11011	PSA_MOUSE	Npepps		11502.6	10841	10787.1	13863	12233.6	12550.4	9097.98	10857.8	11964.2	11317	12538.2
